Λήμμα,Επεξήγηση,Άρθρο
Ακισταδόρος,Αυτός που αποκτά κάτι,sing.M
Ακλεριάζω,Καταστρέφω,null
Ακλεριάζω,Ρημάζω,null
Ακορδάρω,Συμφωνώ,null
Ακορδάρω,Συμμερίζομαι ,null
Ακορδάρω,Παίρνω το μέρος κάποιου,null
Ακουζάρω,Κατηγορώ,null
Ακουζάρω,Κατηγορώ,null
Ακουζατόρος,Κατήγορος,sing.M
Ακουσμένη,Η γυναίκα που έχει εξωσυζυγική σχέση,sing.F
Ακουστάδα,Αποκτημένη,sing.F
Ακουϊστά,Επιπλέον πράγματα,null
Ακριβολιναριά,Πρίν από πολύ καιρό,sing.F
Ακροτζερίζωμαι,Προαισθάνομαι,null
Ακροτζερίζωμαι,Αντιλαμβάνομαι,null
Ακρουφαλιά,Κουφάλα,sing.F
Ακρουφαλιά,Σχισμή δένδρου,sing.F
Ακόντο,Έναντι λογαριασμού,sing.N
Αλάδα,Τούφα μαλλιών,sing.F
Αλάρμα,Πένθιμο χτύπημα καμπάνας,null
Αλέγρος,Ευθυμος,sing.M
Αλέγρος,Χαρούμενος,sing.M
Αλέκιος,Μονοκόμματος,sing.M
Αλέρτα,Στη θέση σου,sing.F
Αλέρτα,Σε επαγρύπνηση,sing.F
Αλέστος,Πρόθυμος,sing.M
Αλίμεντο,Διατροφή,sing.N
Αλαγκρέτζα,Χαρούμενη,null
Αλαγκρέτζα,Φαιδρή,null
Αλαγραμέντα,Καλή ανάρρωση,null
Αλαλάργα,Μακριά,null
Αλαλιάζω,Μένω άλαλος,null
Αλαμαρνέρα,Ρόμπα,sing.F
Αλαμπαμπίνα,Ανδρικό χτένισμα (έμοιαζαν με μωρουδίστικο χτενισμα με τα μαλλιά να αναδιπλώνουν στα άκρα),null
Αλαμπαμπίνα,Δείγμα Παλληκαρισμού,null
Αλαμπρατσάντε Αγκαζέ,Αγκαζέ,null
Αλαμπρατσάντε Αγκαζέ,Στην γνωστή κερκυραϊκή παροιμία «από το τίποτα καλό και το αλαμπρατσάντε»,null
Αλαπρέστα,Γρήγορα,null
Αλαρουμάνα,Μακριά μαλλιά,null
Αλασκάγια,Ανάρριχτα,null
Αλασκαβέντζα,Με το σακκάκι ριχτό στον ώμο,null
Αλατρεύω,Καλλιεργώ,null
Αλαφάτσα,Το μαντήλι δεμένο πάνω από το κεφάλι με τις άκρες σηκωμένες πάνω στο κεφάλι σταυρωτά και γενικά ευπρεπισμος της κεφαλής,null
Αλαφίλα,Συνεχώς,null
Αλαφοστιά,Η αρρώστια Ερυθρά,sing.F
Αλεγατσιόνες,Επεξηγήσεις,plur.M
Αλεγράρω,Χαίρομαι,null
Αλεγράρω,Ευθυμώ,null
Αλεγράρω,Ξεδίνω,null
Αλεγρία,Χαρά,sing.F
Αλεσιά,Τρίψιμο σε μύλο,sing.F
Αλευρίτας,Είδος μανιταριού,sing.M
Αλιά,Αλίμονο,null
Αλιάδα,Σκορδαλιά,sing.F
Αλικουρνίζω,Λερώνω,null
Αλικουρνίζω,Πασαλείβω,null
Αλιμάγκου,Επιτέλους,null
Αλιμάγκου,Εν κατακλείδει,null
Αλιμπουρδίζω,Λερώνω,null
Αλιμπουρδίζω,Πασαλείβω,null
Αλιμπουρδώνω,Λερώνω,null
Αλιμπουρδώνω,Πασαλείβω,null
Αλιποπορά,Ποικιλία σταφυλιών,sing.F
Αλιποπορδιές,Ράτσα μανιταριών,plur.M
Αλιποτσάκαλης,Ράτσα τσακαλιού που έλεγαν ότι είναι διασταυρωση αλεπούς και τσακαλιού,sing.M
Αλιτζερίνος,"Αλγερίνος πειρατής, συνώνυμο της σκληρότητας",sing.M
Αλιτσερίνι,Σκούρο,sing.N
Αλιτσερίνι,Μαύρο,sing.N
Αλιτσερίνι,Σκοτεινό,sing.N
Αλιφιέρης,Αλιφιέρης,sing.M
Αλιφούτσιος,Λούστρος,sing.M
Αλιφούτσιος,Στιλβωτής υποδημάτων,sing.M
Αλλότριος,Αλλιώτικος,sing.M
Αλμπακάς,Επίσημο ροκέτο από φίνο ύφασμα,sing.M
Αλντέντο,Μισοβρασμένα μακαρόνια,sing.N
Αλπέτρες,Διαιτητής,sing.M
Αλπετραριος,Διαιτητής,sing.M
Αλτάνα,Ξεχυτή,sing.F
Αλτάρι,Αγία τράπεζα,sing.N
Αλτεράδος,Αδιάθετος,sing.M
Αλτρα πάντα,Από τη μία μεριά στην άλλη,null
Αλτσάτο,Πανωσήκωμα σπιτιού,sing.N
Αλτσετούρα,Πιέτα,sing.F
Αλτσος,Αλυσίδα,sing.M
Αλυπίτσα,Φυτό της ακροθαλασσιάς που το χρησιμοποιούν για να κατασκευάζουν σκούπες,sing.F
Αλυποτανάω,Τραβάω το σχοινί,null
Αλυσίβα,Ζεστό νερό και στάχτη για το πλύσιμο των ρούχων,sing.N
Αλόη,Βότανο,sing.F
Αλόϊσες,Κακιές γυναίκες,plur.M
Αμάν μπάσα,Λεηλασία,null
Αμάντζαλος,Κακοντυμένος,null
Αμάντζαλος,Ακατάστατος,null
Αμέντε,Προσοχή,sing.N
Αμέντε,Πρόσεχε,sing.N
Αμέντι,Προσοχή,sing.N
Αμέντι,Πρόσεχε,sing.N
Αμίρασος,Το ψάρι Σαλούβαρδος,sing.M
Αμαρτεμός,Αμαρτία,sing.M
Αμασκαλίδι,Το βλαστάρι ανάμεσα στο φύλλο,sing.N
Αμασκαλοβύζα,Γυναίκα με μεγάλους μαστούς,sing.F
Αμαχεμός,Εχθρότητα,sing.M
Αμε,Πήγαινε,null
Αμε δα,Βεβαιωτικό μόριο,null
Αμηδόνικα,Ναι,null
Αμηδόνικα,Κατάφαση,null
Αμητί,Πώς αλλιώς,null
Αμι,Βεβαιωτικό μόριο,null
Αμινόνκα,Ασε μας ήσυχους,null
Αμινόνκα,Παράτα μας,null
Αμμούσα,Αμμώδες και πορώδες έδαφος,sing.F
Αμολάδος,Ελεύθερος,sing.M
Αμολάδος,Χωρίς περιορισμούς,sing.M
Αμολάρω,"Ελευθερώνω, απελευθερώνω.",null
Αμολάρω,"Χαλαρώνω, μαλακώνω.",null
Αμολάρω,Απελευθερώνω,null
Αμολέρνω,Ελευθερώνω,null
Αμολαρησιά,Ασυδοσία,sing.F
Αμοράδος,Ερωτευμένος,sing.M
Αμορόζος,Αγαπητικός,sing.M
Αμορόζος,Εραστής,sing.M
Αμούρες,Βατόμουρα,plur.M
Αμούχτι,Πλήθος πραγμάτων,sing.N
Αμπάσος,Κατώτερος,sing.M
Αμπάσος,Χαμηλότερος,sing.M
Αμπάτης,Ταγμένος,sing.M
Αμπαντάρω,Εκτιμώ,null
Αμπαντάρω,Λογαριάζω,null
Αμπαντονάδος,Αλήτης,sing.M
Αμπαντονάδος,Εγκαταλελλειμένο Παιδί,sing.M
Αμπαντονάδος,Έκθετο,sing.M
Αμπατάριστος,Αδιάφορος για ότι συμβαίνει,sing.M
Αμπελοφάσουλα,Φασολάκια βελόνες,plur.N
Αμπελοφουρκάτα,Ξύλινη διχάλα για το φύτεμα του αμπελιού,sing.F
Αμπιτάντες,Σοφίτα,sing.M
Αμπιτύχη,Αν τυχόν,null
Αμπλα ουτουριτά,Απόλυτη εξουσία,null
Αμπονόρα,Νωρίς,null
Αμπονόρα,Πολύ πρωί,null
Αμπορμπάω,Προφταίνω,null
Αμπορμπάω,Προλαβαίνω,null
Αμπορπίζω,Ξεπερνώ κάποιον,null
Αμπουρνέλα,Κορόμηλο,sing.F
Αμπούζο,Κατάχρηση,sing.N
Αμπόδεμα,Μάγια,sing.N
Αμπόδεμα,Μαγικά,sing.N
Αμπώνω,Σπρώχνω,null
Αμόντε,πάμε,null
Ανάγλυκα,Αραιά,plur.N
Ανάγλυκο,Αραιό,null
Ανάγυρος,Τέχνασμα,sing.M
Ανάγυρος,Επιδεξιότητα,sing.M
Ανάερα,Εναέρια,plur.N
Ανάερα,Αμυδρά,null
Ανάκαρο,Διάθεση,sing.N
Ανάνταφλος,Ανοικοκύρευτος,sing.M
Ανάντελος,Δύστροπος,sing.M
Ανάφαντος,Απρόσεκτος,sing.M
Ανέλο,Κρίκος,sing.N
Ανέλο,Χαλκάς,sing.N
Ανέσωστος,Ατελείωτος,sing.M
Αναγκεμένος,Άρρωστος,sing.M
Αναγραίνω,Ξαίνω το μαλλί,null
Αναδίνω,Ξανάρχομαι,null
Αναζωφάω,Ξαναζωντανεύω,null
Αναθιβάνω,Αμφιβάλλω,null
Ανακρακάτος,Φωνακλάς,sing.M
Ανακυκλίδα,Ξύλινο εργαλείο για την μεταφορά του νήματος κατά το γνέσιμο,sing.F
Αναπαψώλια,Μία κατασκευή από σχοινιά που δένονταν πάνω από το κρεβάτι για να κρατούν τα πόδια της γυναίκας ανασηκωμένα ώστε να μην κουράζεται κατά τη διάρκεια της ερωτικής πράξης,plur.N
Αναπιαίνω,Βάζω το ζυμάρι στη σκάφη και το σκεπάζω για να φουσκώσει,null
Αναράιδα,Νεράιδα,sing.F
Αναρίτσια,Ανατριχίλα,sing.F
Αναριομάδα,Αραιόφυτο μέρος,sing.F
Ανατσολόϊση,Ακαταστασία,sing.F
Ανατσουτσουριάζω,Ανατριχιάζω,null
Ανατσούμπαλος,Ακατάστατος,sing.M
Αναφούφου,Στον αέρα,null
Αναφούφου,Πάνω πάνω,null
Αναχαράζει,Μηρυκάζει,null
Αναχαράζω,Μηρυκάζω,null
Αναψούρα,Έξαψη,sing.F
Αναψούρες,Ζέστες,plur.M
Αναψούρες,Εξάψεις,plur.M
Ανελέτα,Γάντζοι που περνούν τα κορδόνια των παπουτσιών,plur.N
Ανεμοίραα,Αμοίραστα,plur.N
Ανεμοδούρητος,Μικρής διάρκειας,sing.M
Ανεμοκάικα,Εξαφανίστηκα,null
Ανεμοπουλίζω,Ανεμίζω,null
Ανεμοπύρωμα,Κρυολόγημα,sing.N
Ανεμοστρίφουλας,Τοπικός μικρός τυφώνας,sing.M
Ανεμοφόνητο,Άστατος,sing.N
Ανεμοφόνητο,Ασταθής,sing.N
Ανεμούρι,Κάποιος που μιλάει ασταμάτητα,sing.N
Ανεσίσταγος,Ανήσυχος,sing.M
Ανεσίσταγος,Φασαριόζος,sing.M
Ανεσύσταγος,Ανοικοκύρευτος,sing.M
Ανεσύσταγος,Χωρίς σέστο,sing.M
Ανιφορά,Το αντίδωρο της εκκλησίας,sing.F
Ανστάνζα,Δικαστική προσφυγή,sing.F
Αντάτος,Ο έτοιμος να φύγει,sing.M
Αντέντος,Έτοιμος για καυγά,sing.M
Αντέτο,Έθιμα των προγόνων,sing.N
Αντήρας,Μέρος εκτεθειμένο στον αέρα,sing.M
Αντίδι,Ήμερο λάχανο,sing.N
Αντίκομμα,Ξερό κλωνάρι δένδρου,sing.N
Αντίκος,Παλαιομοδίτης,sing.M
Ανταμος,Γίγαντας,sing.M
Ανταμος,Μεγαλόσωμος,sing.M
Αντζάρδο,Τόλμη,sing.N
Αντζάρδο,Θάρρος,sing.N
Αντζαρδάρω,Ενθαρρύνω,null
Αντιδαύλι,Ξύλο από νέο κλαρί για την φωτιά,sing.N
Αντικάμαρα,Πεισμώνω και απομακρύνομαι από εσένα,sing.F
Αντικάμαρα,Χώλ,sing.F
Αντικάμαρα,Προθάλαμος,sing.F
Αντικάριος,Αρχαιολόγος,sing.M
Αντικούλουκο,Μικρό βλαστάρι,sing.N
Αντικούτικας,Μετωπιαίο οστό,sing.M
Αντιμάμαλο,Το κύμα που χτυπάει και ξαναγυρίζει,sing.N
Αντιρίδα,Λοξό στήριγμα για την αντιστήριξη πασσάλων,sing.F
Αντιρίδι,Μικρός βλαστός που βγαίνει κάτω από το φύλλο,sing.N
Αντιφώτι,Φεγγίτης,sing.N
Αντος,Σε ετοιμότητα,sing.M
Αντρέτζο,Εργαλείο,sing.N
Αντρέτζο,Εξάρτημα,sing.N
Αντραίδα,Φυτό,sing.F
Αντσιόν,Αγωγή εναντίον κάποιου,sing.F
Ανωθιό,Άνωθεν,sing.N
Αξετίμωτος,Ωραίος,sing.M
Αξετίμωτος,Ωραίος,sing.M
Αουνίστρα,Το τζάκι,sing.F
Αουνίστρα,Η φωτιά του σπιτιού,sing.F
Αουνίστρα,Στα χωριά τα Γύρου λέγεται ογνίστρα,sing.F
Απάλα,Το πλατύ μέρος του κουπιού,sing.F
Απάσβεστα,Ο ασβεστοσοβάς,plur.N
Απέκια,Ειδάλλως,null
Απένα,Μόλις,null
Απένα,Μετα βίας,null
Απήκουπα,Ανάποδα,null
Απίδι,Αχλάδι,sing.N
Απίθωμα,Εναπόθεση ενός φορτίου,sing.N
Απίθωσα,Ακούμπησα,null
Απίκου,Στην ώρα μου,null
Απίκου,Ακριβώς στο σημείο που πρέπει,null
Απίκου,Οι Ναυτικοί Χρησιμοποιούν τη λέξη όταν η Μπίγα του Γερανού είναι πάνω ακριβώς από το φορτίο,null
Απίκουπα,Ανάποδα,null
Απίπιλε,Καθολοκληρίαν,null
Απαδέχτης,Κεντρικό χαντάκι ποτιστικού χωραφιού,sing.M
Απαδείρω,Πληρώνω για τα σφάλματά μου,null
Απαθιά,Ησυχία,sing.F
Απαθιά,Απραξία,sing.F
Απαθιά,Απάθεια,sing.F
Απαλατήδι,Το υγρό που περισσεύει από το φτιάξιμο του σαπουνιού,sing.N
Απαλοκάβουρας,Είδος κάβουρα με απαλό κέλυφος που τρώγεται ολόκληρος τηγανιτός,sing.M
Απαλταρίζω,Παίρνω εργολαβία,null
Απαλό,Το βρεγματικό οστούν του νεογνού,sing.N
Απανωγόμι,Το επιπλέον φορτίο του γαιδάρου,sing.N
Απανωκόμι,Επιπλέον κέρδος,sing.N
Απαράτης,Η σανίδα που ασφάλιζε τη δίφυλλη πόρτα από μέσα,sing.M
Απαρέντζα,Εικονiκά,sing.F
Απαρέντζα,Φαινομενικά,sing.F
Απαρθενεύω,Ανήκω,null
Απαρταμέντο,Οροφοδιαμέρισμα,sing.N
Απελάντε,Αυτός που κάνει έφεση στο δικαστήριο,sing.M
Απελάντε,Ο εφεσιβάλλων,sing.M
Απελάρω,Κάνω έφεση,null
Απελησιά,Εκσφενδονίζω,sing.F
Απεράτης,Αμπάρα,sing.M
Απερίκουος,Αυτός που δεν καταλαβαίνει,sing.M
Απερτούρα,Ευκαιρία,sing.F
Απετόνι,Ποντικός των δένδρων,sing.N
Απιδιά,Αχλαδιά,sing.F
Απιθώνω,Ακουμπάω κατι κάπου,null
Απιλατζιόν,Έφεση,null
Απιστριά,Μέρος του εξοπλισμού του γαιδάρου,sing.F
Απισόντενα,Όταν το ζώο δεν μπορει να κρατηθεί στα πισινά του πόδια λόγω αρρώστιας η γήρατος,null
Απιταφτιάρικο,Πεισματάρικο,sing.N
Απιόμπο,Έτοιμος,null
Απλάδενα,Πιατέλα,sing.F
Απλή,Παλιός χωριάτικος χορός,sing.F
Απλιτά,Ικανότητα,null
Απλιτά,Ευχέρεια,null
Απλιχώρια,Ευρυχωρία,sing.F
Απλιός,Πλατύς,sing.M
Απλόχερο,Μονάδα όγκου που χωράει σε μια παλάμη,sing.N
Αποβολάρα,Είδος τσαπιού,sing.F
Αποδέλοιπα,Τα υπόλοιπα,plur.N
Αποδέλοιπο,Υπόλοιπο,sing.N
Αποδοχάρι,Μεγάλος κάδος για την πρόχειρη μετάγγιση του μούστου,sing.N
Αποζετάρω,Υποθηκεύω,null
Αποθώσου,Κάθησε να ξεκουραστείς,null
Αποκαρωμένος,Μισοκοιμισμένος,sing.M
Αποκατάρι,Το κεραμιδι που πάει από την κάτω μεριά,sing.N
Αποκαταριά,Η κάτω πλευρά,sing.F
Αποκαταριά,Το κατακάθι του ελληνικού καφέ,sing.F
Αποκαταριά,Το κάτω μέρος ενός ανισόπεδου κτήματος,sing.F
Αποκατουθειό,Από κάτω,null
Αποκλείω,Κανω κάποιον ψυχικό ράκος,null
Αποκοντιασμένος,Υποχόνδριος,sing.M
Αποκοντριά,Υποχονδρία,sing.F
Αποκοντριά,Νωθρότητα,sing.F
Αποκοπή,Εργασία με το κομμάτι,sing.F
Αποκόντο,Παραλίγο,sing.N
Αποκόντο,Ευνόητο,sing.N
Απολιώρα,Πριν από λίγη ώρα,null
Αποξυλάνθι,Το άνθος της κουφοξυλιάς,sing.N
Αποξυλάνθι,Θάμνος της ακτής,sing.N
Αποξυλάνθι,Αφροξυλάνθη,sing.N
Αποπέρνω,Αποθαρρύνω,null
Αποπανάρι,Το πάνω τούβλο της σκεπής,sing.N
Αποπανάρι,Το κεραμιδι που πάει από την πάνω μεριά,sing.N
Αποπαναριά,Το επάνω μέρος,sing.F
Αποπανουθιό,Από πάνω,sing.N
Αποσίμπελο,Πιθανόν,null
Αποσίμπελο,Παρά λίγο,null
Αποσίμπελο,Μπορεί,null
Αποσβολάρα,Τσαπί,sing.F
Αποσεδείριες,Οι ελιές που πέφτουν από την αρχή της σοδειάς,plur.M
Αποστάρικα,Σκόπιμα,null
Αποστήλα,Σημείωση στο περιθώριο της σελίδας,sing.F
Αποστήλα,Στήλη,sing.F
Αποτίλας,Λιθιά,sing.M
Αποτιλιά,Λιθιά,sing.F
Αποφώλι,Πέτρα σε σχήμα αυγού που έβαζαν στη φωλιά της κότας για να την ξεγελάσουν και να γεννήσει εκεί.,
Απραός,Διαρκώς σε κίνηση,sing.M
Απροβάδο,Εγκεκριμένο,sing.N
Απρομπάρω,Εγκρίνω,null
Απροπόζιτο,Έκφραση που προτάσσεται στην αρχή της συζήτησης,sing.N
Απρόντα,Έτοιμη,sing.F
Απόγραμμα,Διεύθυνση σε γράμμα,sing.N
Απόγραμμα,Στην υπόλοιπη Κέρκυρα την έλεγαν Σύσταση,sing.N
Απόδιαβα,Μετά τις γιορτές,null
Απόειδα,Απογοητεύτηκα,null
Απόειδα,Βαρέθηκα να περιμένω,null
Απόθραψε,Τελείωσε η καύση του ξύλου,null
Απόντις,Από όταν,null
Απόντις,Αφού,null
Απόπερα,Απέναντι,null
Απόστα,Επίτηδες,null
Απόστο,Του έκανε κριτική,null
Απόστο,τον έβαλε στο στόχαστρο,null
Απόχηρος,Χήρος,sing.M
Απόχτιο,Απόκτημα,sing.N
